x,y,psi,v_ref,s
0.990110,1.467221,-2.891850,1.500000,15.412516
0.964561,1.460368,-2.867233,1.500000,15.438968
0.939138,1.452875,-2.842714,1.500000,15.465474
0.913850,1.444744,-2.818301,1.500000,15.492036
0.888710,1.435979,-2.794001,1.500000,15.518660
0.863729,1.426585,-2.769820,1.500000,15.545350
0.838917,1.416565,-2.745765,1.500000,15.572109
0.814285,1.405923,-2.721840,1.500000,15.598941
0.789844,1.394665,-2.698052,1.500000,15.625850
0.765606,1.382795,-2.674404,1.500000,15.652839
0.741579,1.370318,-2.650903,1.500000,15.679912
0.717776,1.357241,-2.627551,1.500000,15.707071
0.694206,1.343568,-2.604352,1.500000,15.734319
0.670880,1.329305,-2.581309,1.500000,15.761660
0.647808,1.314460,-2.558425,1.500000,15.789096
0.625000,1.299038,-2.535702,1.500000,15.816628
0.602466,1.283046,-2.513141,1.500000,15.844260
0.580217,1.266492,-2.490745,1.500000,15.871992
0.558261,1.249382,-2.468514,1.500000,15.899828
0.536608,1.231724,-2.446448,1.500000,15.927768
0.515268,1.213525,-2.424549,1.500000,15.955813
0.494251,1.194795,-2.402816,1.500000,15.983966
0.473565,1.175540,-2.381248,1.500000,16.012226
0.453220,1.155770,-2.359845,1.500000,16.040595
0.433224,1.135493,-2.338605,1.500000,16.069073
0.413587,1.114717,-2.317528,1.500000,16.097661
0.394316,1.093453,-2.296612,1.500000,16.126358
0.375421,1.071709,-2.275854,1.500000,16.155165
0.356909,1.049495,-2.255254,1.500000,16.184081
0.338789,1.026821,-2.234807,1.500000,16.213106
0.321069,1.003696,-2.214513,1.500000,16.242239
0.303756,0.980131,-2.194367,1.500000,16.271481
0.286858,0.956136,-2.174368,1.500000,16.300828
0.270383,0.931722,-2.154512,1.500000,16.330282
0.254338,0.906899,-2.134795,1.500000,16.359839
0.238729,0.881678,-2.115215,1.500000,16.389499
0.223563,0.856070,-2.095768,1.500000,16.419260
0.208848,0.830087,-2.076449,1.500000,16.449121
0.194590,0.803740,-2.057256,1.500000,16.479079
0.180795,0.777041,-2.038185,1.500000,16.509132
0.167468,0.750000,-2.019230,1.500000,16.539278
0.154617,0.722631,-2.000390,1.500000,16.569514
0.142246,0.694944,-1.981658,1.500000,16.599839
0.130360,0.666953,-1.963032,1.500000,16.630249
0.118966,0.638669,-1.944506,1.500000,16.660742
0.108068,0.610105,-1.926077,1.500000,16.691314
0.097671,0.581273,-1.907739,1.500000,16.721963
0.087779,0.552187,-1.889490,1.500000,16.752686
0.078398,0.522858,-1.871323,1.500000,16.783478
0.069530,0.493300,-1.853236,1.500000,16.814338
0.061179,0.463525,-1.835222,1.500000,16.845261
0.053351,0.433548,-1.817279,1.500000,16.876244
0.046047,0.403380,-1.799400,1.500000,16.907284
0.039271,0.373035,-1.781582,1.500000,16.938376
0.033026,0.342526,-1.763819,1.500000,16.969517
0.027315,0.311868,-1.746108,1.500000,17.000703
0.022141,0.281072,-1.728444,1.500000,17.031931
0.017505,0.250153,-1.710822,1.500000,17.063195
0.013410,0.219125,-1.693237,1.500000,17.094493
0.009857,0.188000,-1.675684,1.500000,17.125820
0.006848,0.156793,-1.658160,1.500000,17.157171
0.004384,0.125517,-1.640659,1.500000,17.188544
0.002467,0.094186,-1.623177,1.500000,17.219934
0.001096,0.062813,-1.605709,1.500000,17.251336
0.000274,0.031414,-1.588250,1.500000,17.282747
